,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,THU,08,50,"[64, 73, 83, 98, 88, 81, 92, 79, 78, 74]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,00,"[38, 49, 60, 74, 55, 56, 76, 68, 48, 35]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,10,"[41, 50, 56, 82, 65, 54, 72, 77, 54, 49]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,20,"[43, 56, 58, 69, 60, 63, 71, 59, 47, 44]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,30,"[41, 50, 57, 70, 58, 66, 68, 53, 46, 32]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,40,"[30, 30, 40, 42, 36, 38, 42, 31, 28, 22]"
6,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,229,봉천역,1,0,THU,08,50,"[27, 32, 40, 49, 36, 35, 48, 38, 32, 24]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,00,"[63, 76, 95, 87, 98, 84, 85, 82, 81, 89]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,10,"[71, 87, 92, 88, 95, 83, 91, 97, 92, 83]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,20,"[63, 86, 79, 89, 92, 70, 91, 85, 92, 71]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,30,"[55, 81, 80, 95, 90, 73, 91, 82, 89, 84]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,40,"[55, 80, 88, 108, 86, 72, 88, 83, 78, 81]"
15,2호선,신림역,230,20221001,20221231,234,신도림역,211-R,성수역,231,신대방역,0,0,THU,08,50,"[32, 37, 42, 50, 45, 41, 47, 40, 39, 38]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,MON,17,00,"[25, 27, 34, 39, 50, 37, 35, 31, 34, 27]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,MON,17,10,"[26, 30, 44, 44, 51, 41, 39, 34, 34, 27]"
5,2호선,신림역,230,20221001,20221231,211,성수역,211-R,성수역,231,신대방역,0,0,MON,17,20,"[31, 45, 52, 56, 69, 60, 50, 45, 43, 38]"
