,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,WED,18,50,"[67, 66, 66, 67, 67, 72, 69, 69, 58, 48]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,WED,18,00,"[68, 67, 70, 83, 77, 90, 81, 74, 65, 47]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,WED,18,10,"[79, 70, 74, 84, 77, 78, 82, 69, 60, 47]"
15,2호선,선릉역,220,20220930,20221229,234,신도림역,211-R,성수역,221,역삼역,0,0,WED,18,20,"[38, 31, 33, 41, 38, 40, 38, 42, 33, 27]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,TUE,18,20,"[31, 31, 33, 29, 30, 30, 34, 34, 33, 24]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,TUE,18,30,"[60, 68, 68, 64, 59, 68, 66, 68, 62, 47]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,TUE,18,40,"[65, 69, 65, 64, 61, 70, 67, 67, 58, 44]"
4,2호선,선릉역,220,20220930,20221229,211,성수역,211,성수역,219,삼성역,1,0,TUE,18,50,"[60, 59, 59, 60, 60, 64, 62, 62, 52, 43]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,00,"[77, 77, 79, 94, 88, 102, 92, 84, 74, 53]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,10,"[135, 119, 126, 144, 132, 133, 139, 118, 103, 80]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,20,"[111, 90, 95, 118, 109, 114, 110, 122, 94, 78]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,30,"[97, 79, 93, 107, 112, 110, 102, 100, 91, 67]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,40,"[83, 73, 79, 87, 85, 97, 92, 83, 68, 63]"
5,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,221,역삼역,0,0,TUE,18,50,"[77, 67, 68, 84, 85, 85, 86, 85, 69, 53]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,00,"[63, 58, 71, 62, 59, 71, 63, 62, 65, 56]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,10,"[100, 104, 104, 114, 93, 101, 106, 88, 99, 73]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,20,"[100, 100, 106, 96, 99, 98, 112, 112, 108, 79]"
6,2호선,선릉역,220,20220930,20221229,211,성수역,211-R,성수역,219,삼성역,1,0,TUE,18,30,"[79, 90, 90, 86, 79, 91, 88, 90, 83, 63]"
