,subwayLine,stationName,stationCode,statStartDate,statEndDate,startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,20,"[26, 28, 38, 38, 34, 33, 44, 40, 27, 21]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,30,"[20, 24, 23, 26, 33, 30, 31, 28, 20, 13]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,40,"[16, 15, 18, 22, 19, 23, 23, 19, 15, 9]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,THU,09,50,"[12, 14, 17, 21, 21, 23, 20, 19, 13, 10]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,THU,09,30,"[6, 7, 7, 7, 9, 8, 9, 8, 6, 4]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,THU,09,40,"[12, 12, 14, 17, 15, 18, 18, 15, 12, 7]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,THU,09,50,"[10, 11, 14, 17, 17, 19, 17, 15, 11, 8]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,00,"[21, 25, 39, 37, 44, 38, 30, 32, 31, 25]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,10,"[22, 29, 34, 36, 50, 42, 41, 31, 30, 24]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,20,"[21, 29, 29, 29, 46, 33, 31, 34, 25, 23]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,30,"[25, 27, 30, 36, 49, 29, 28, 34, 32, 30]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,40,"[17, 21, 23, 29, 41, 28, 25, 32, 23, 22]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,SUN,18,50,"[18, 24, 32, 31, 41, 32, 27, 27, 24, 24]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,00,"[27, 38, 38, 45, 42, 43, 42, 34, 24, 17]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,10,"[26, 35, 45, 57, 45, 60, 60, 38, 35, 19]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,20,"[32, 42, 45, 56, 57, 58, 61, 39, 36, 34]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,30,"[32, 40, 53, 68, 68, 84, 65, 51, 37, 33]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,40,"[33, 50, 47, 57, 53, 69, 51, 40, 44, 36]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,SUN,18,50,"[34, 39, 46, 52, 51, 60, 49, 50, 40, 29]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,SUN,18,00,"[23, 33, 33, 38, 36, 37, 36, 29, 20, 14]"
9,2호선,봉천역,229,20221001,20221231,211,성수역,234,신도림역,228,서울대입구역,1,0,SUN,18,10,"[9, 12, 15, 19, 15, 20, 20, 13, 12, 6]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,00,"[26, 33, 38, 47, 59, 49, 42, 41, 36, 30]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,10,"[35, 41, 58, 64, 84, 65, 56, 47, 49, 42]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,20,"[34, 53, 60, 69, 89, 78, 65, 53, 51, 47]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,30,"[49, 59, 67, 85, 101, 85, 58, 66, 54, 47]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,40,"[55, 61, 73, 81, 101, 85, 65, 63, 61, 55]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,FRI,17,50,"[50, 58, 68, 75, 95, 73, 71, 65, 55, 59]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,00,"[66, 75, 89, 99, 90, 91, 100, 77, 76, 67]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,10,"[77, 89, 93, 119, 109, 104, 124, 110, 87, 68]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,20,"[89, 123, 122, 152, 140, 161, 161, 146, 130, 107]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,30,"[105, 133, 140, 169, 151, 161, 184, 149, 154, 113]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,40,"[124, 142, 142, 164, 147, 151, 168, 160, 134, 127]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,FRI,17,50,"[105, 122, 115, 151, 120, 137, 150, 147, 118, 105]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,00,"[7, 9, 10, 13, 16, 13, 11, 11, 10, 8]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,10,"[15, 18, 25, 27, 36, 28, 24, 20, 21, 18]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,20,"[19, 30, 34, 39, 50, 44, 37, 30, 29, 27]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,30,"[25, 30, 34, 43, 51, 43, 29, 33, 27, 24]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,40,"[20, 22, 26, 29, 36, 30, 23, 22, 22, 19]"
15,2호선,봉천역,229,20221001,20221231,234,신도림역,211-R,성수역,230,신림역,0,0,FRI,17,50,"[21, 24, 29, 31, 40, 31, 30, 27, 23, 25]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,TUE,18,40,"[47, 53, 57, 57, 50, 49, 59, 63, 58, 46]"
4,2호선,봉천역,229,20221001,20221231,211,성수역,211,성수역,228,서울대입구역,1,0,TUE,18,50,"[93, 109, 109, 121, 101, 100, 121, 123, 105, 87]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,00,"[33, 38, 46, 55, 66, 54, 44, 45, 40, 39]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,10,"[44, 46, 55, 71, 91, 66, 59, 57, 45, 47]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,20,"[47, 58, 63, 74, 93, 79, 66, 66, 54, 48]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,30,"[60, 68, 81, 85, 112, 88, 78, 76, 68, 64]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,40,"[57, 65, 74, 96, 102, 88, 80, 74, 65, 70]"
5,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,230,신림역,0,0,TUE,18,50,"[54, 66, 73, 93, 115, 86, 83, 71, 56, 62]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,00,"[89, 113, 105, 143, 106, 125, 133, 130, 104, 92]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,10,"[107, 113, 123, 153, 119, 137, 141, 149, 118, 91]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,20,"[100, 120, 137, 147, 134, 136, 141, 151, 135, 119]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,30,"[125, 150, 147, 185, 150, 164, 175, 161, 159, 123]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,40,"[128, 146, 155, 157, 138, 135, 162, 172, 159, 127]"
6,2호선,봉천역,229,20221001,20221231,211,성수역,211-R,성수역,228,서울대입구역,1,0,TUE,18,50,"[119, 139, 139, 155, 130, 129, 156, 158, 134, 112]"
11,2호선,봉천역,229,20221001,20221231,219,삼성역,211-R,성수역,228,서울대입구역,1,0,TUE,18,00,"[52, 67, 62, 84, 62, 74, 78, 77, 61, 54]"
